name,age,gender,education,income,country,purchase_frequency,spending
Teresa Williams MD,42,Female,High School,53936,Slovenia,0.9,13227.119999999999
Christine Myers,49,Female,Master,82468,Aruba,0.6,12674.04
Dwayne Moreno,55,Male,Bachelor,56941,Cyprus,0.3,5354.115
Amy Norton,24,Female,Bachelor,60651,Palau,0.2,2606.51
Tonya Adams,64,Male,Master,81884,Zambia,0.9,18984.780000000002
Charles Smith,24,Female,PhD,61444,Libyan Arab Jamahiriya,1.0,18072.2
Misty Moody,58,Male,PhD,78024,Italy,0.9,21511.08
Brian Kent,34,Male,High School,32225,Pakistan,0.7,6727.875
Stacie Ray,63,Male,PhD,63664,Venezuela,0.4,9273.28
Brian Townsend,64,Female,High School,45043,San Marino,1.0,16252.15
Samantha Bailey,32,Male,Bachelor,91170,Christmas Island,0.8,12446.800000000001
Christopher Wright,23,Male,Master,86576,South Africa,0.8,11463.04
John Harrington,24,Female,Master,36359,Nicaragua,0.9,12436.155
Gregory Franklin,39,Male,Master,78325,Greenland,0.2,3783.25
Jordan Garrett,56,Female,Master,95451,Indonesia,0.4,9509.02
Barbara Fuller,36,Male,Bachelor,44475,Australia,0.1,1522.375
Eric Rogers,57,Female,PhD,29055,India,0.2,4690.55
Christopher Fleming,61,Male,Bachelor,25064,Mali,0.2,3250.6400000000003
Sandra Wheeler,62,Female,Master,88392,Sri Lanka,0.4,9367.84
Elizabeth Guzman,31,Female,Master,79056,Egypt,0.8,15162.24
Kathleen Mata,60,Female,High School,62509,United Arab Emirates,1.0,17125.45
Jack Perry,25,Female,Master,44953,Nauru,0.4,5699.06
Tyler Silva,19,Female,High School,48896,Armenia,0.6,5666.879999999999
Joy Carter,28,Female,PhD,28151,Iran,0.2,3881.51
Jody Collins,27,Male,High School,95217,Faroe Islands,0.9,11484.765000000001
Elizabeth Brown,56,Male,High School,36311,United States of America,0.4,5526.22
Mrs. Brandy Tate,56,Male,PhD,31997,Svalbard & Jan Mayen Islands,0.6,12959.909999999998
Janet Miller,25,Male,High School,45505,Ethiopia,0.3,2182.575
Mary Smith,63,Male,PhD,47600,Albania,0.1,2238.0
Denise Martin,61,Male,PhD,33303,El Salvador,0.5,10832.575
Michael Brown,22,Male,High School,59460,Chad,0.6,4783.8
Craig Thomas,45,Male,High School,86012,Palau,0.8,11440.480000000001
Ashley Cain,20,Male,PhD,46129,Anguilla,0.5,7653.225
Carolyn Wilson,40,Female,Bachelor,46661,Cocos (Keeling) Islands,0.1,1733.305
Allison Chen,61,Male,Bachelor,64867,Cook Islands,0.9,16419.015
Crystal Jacobson,34,Male,PhD,42913,Philippines,0.1,1814.5650000000003
Rhonda Gordon,48,Female,Master,66812,Comoros,0.7,14238.419999999998
Jenna Cowan,60,Female,Bachelor,93478,Maldives,0.1,2167.3900000000003
Taylor Yang,47,Male,Master,25989,Palau,0.9,14669.505000000001
Judy Moses,35,Male,Bachelor,83154,Holy See (Vatican City State),0.6,9094.62
Eric Farmer,57,Female,Master,97368,Cook Islands,1.0,23868.4
Meghan Hansen,26,Female,PhD,74318,United States Minor Outlying Islands,0.2,4343.18
Susan Jones,18,Male,Master,40981,Equatorial Guinea,0.4,4819.62
Mr. Anthony Powell Jr.,32,Female,PhD,94468,Estonia,0.7,15906.38
